
Non-linear iteration 0
   x              calc           prec      dif            N  location
  11.000000      55.000000      55.000000  0.000000e+00   0   border
  11.250000      56.250000      56.250000  2.842171e-14   1   inner
  11.500000      57.500000      57.500000  2.842171e-14   2   inner
  11.750000      58.750000      58.750000  4.973799e-14   3   inner
  12.000000      60.000000      60.000000  4.973799e-14   4   inner
  12.250000      61.250000      61.250000  6.394885e-14   5   inner
  12.500000      62.500000      62.500000  5.684342e-14   6   inner
  12.750000      63.750000      63.750000  7.105427e-14   7   inner
  13.000000      65.000000      65.000000  5.684342e-14   8   inner
  13.250000      66.250000      66.250000  5.684342e-14   9   inner
  13.500000      67.500000      67.500000  4.263256e-14  10   inner
  13.750000      68.750000      68.750000  5.684342e-14  11   inner
  14.000000      70.000000      70.000000  4.263256e-14  12   inner
  14.250000      71.250000      71.250000  5.684342e-14  13   inner
  14.500000      72.500000      72.500000  2.842171e-14  14   inner
  14.750000      73.750000      73.750000  2.842171e-14  15   inner
  15.000000      75.000000      75.000000  0.000000e+00  16   border
||u-u*||/||u*|| = 7.156113e-16
||u-u*|| = 1.926344e-13
